Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Recovery	Cobalt_concentration_uM_corrected	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Cell_presence	Mean_cobalt_concentration_uM_corrected	Median_cobalt_concentration_uM_corrected	Stdev_cobalt_concentration_uM_corrected	Min_cobalt_concentration_uM_corrected	Max_cobalt_concentration_uM_corrected
72-15.1	2024-02-16_72hr_NoWire+10%inoc+DMSO_15_A-F	104.341	1.770496237	1	1.770496237	72	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	Live cells	1.667277669	1.673471123	0.103996397	1.551672194	1.770496237
72-15.2	2024-02-16_72hr_NoWire+10%inoc+DMSO_15_F-A	108.645	1.843528083	1	1.843528083	72	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	Live cells	1.704561411	1.707441791	0.126503382	1.559833978	1.843528083
72-16.1	2024-02-16_72hr_NoWire+10%inoc+DMSO_16_A-F	102.431	1.738086659	1	1.738086659	72	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	Live cells	1.667277669	1.673471123	0.103996397	1.551672194	1.770496237
72-16.2	2024-02-16_72hr_NoWire+10%inoc+DMSO_16_F-A	104.29	1.769630851	1	1.769630851	72	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	Live cells	1.704561411	1.707441791	0.126503382	1.559833978	1.843528083
168-2.1	2024-02-20_168hr_Wire+Media_2_A-F	14019.409	237.8864577	1.010066	235.5157561	168	Wire included	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	2	No cells	240.4712151	251.7465942	76.45189204	128.2731463	381.0251426
168-2.2	2024-02-20_168hr_Wire+Media_2_F-A	10521.689	178.5358659	1.008405	177.0477793	168	Wire included	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	2	No cells	104.5064346	69.46618286	62.83469544	67.00534168	177.0477793
168-3.1	2024-02-20_168hr_NoWire+Media_3_A-F	128.554	2.181351274	1	2.181351274	168	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	No cells	1.892977294	1.868386739	0.180822187	1.696836562	2.181351274
168-3.2	2024-02-20_168hr_NoWire+Media_3_F-A	131.991	2.239671547	1	2.239671547	168	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	No cells	2.040815028	2.052281401	0.193642414	1.819025763	2.239671547
168-4.1	2024-02-20_168hr_NoWire+Media_4_A-F	127.225	2.158800316	1	2.158800316	168	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	No cells	1.892977294	1.868386739	0.180822187	1.696836562	2.181351274
168-4.2	2024-02-20_168hr_NoWire+Media_4_F-A	127.335	2.160666836	1	2.160666836	168	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	No cells	2.040815028	2.052281401	0.193642414	1.819025763	2.239671547
