Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
168-13.2	2024-02-20_168hr_Wire+10%inoc+DMSO_13_F-A	11068.341	187.8116569	168	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	
168-14.1	2024-02-20_168hr_Wire+10%inoc+DMSO_14_A-F	16927.522	287.2323824	168	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	
168-14.2	2024-02-20_168hr_Wire+10%inoc+DMSO_14_F-A	8594.138	145.8284758	168	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	
168-15.1	2024-02-20_168hr_NoWire+10%inoc+DMSO_15_A-F	116.993	1.985179999	168	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	
168-15.2	2024-02-20_168hr_NoWire+10%inoc+DMSO_15_F-A	125.529	2.130021968	168	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	
168-16.1	2024-02-20_168hr_NoWire+10%inoc+DMSO_16_A-F	170.015	2.884876681	168	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	
168-16.2	2024-02-20_168hr_NoWire+10%inoc+DMSO_16_F-A	125.19	2.124269692	168	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	
0-1.1	2024-05-14_0hr_Wire+Media_1_A-F	196.205	3.329278177	0	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	0.9901
0-1.2	2024-05-14_0hr_Wire+Media_1_F-A	196.39	3.332417324	0	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	0.9901
0-2.1	2024-05-14_0hr_NoWire+Media_2_A-F	99.22	1.683601237	0	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	
0-2.2	2024-05-14_0hr_NoWire+Media_2_F-A	102.305	1.735948645	0	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	
0-3.1	2024-05-14_0hr_Wire+Media+DMSO_3_A-F	124.235	2.108064903	0	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	
0-3.2	2024-05-14_0hr_Wire+Media+DMSO_3_F-A	127.95	2.171102381	0	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	
0-4.1	2024-05-14_0hr_NoWire+Media+DMSO_4_A-F	88.76	1.506112133	0	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	
0-4.2	2024-05-14_0hr_NoWire+Media+DMSO_4_F-A	90.235	1.531140472	0	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	
0-5.1	2024-05-14_0hr_Wire+10%inoc_5_A-F	112.83	1.914540693	0	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	0.9405
0-5.2	2024-05-14_0hr_Wire+10%inoc_5_F-A	123.785	2.100429138	0	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	0.9405
0-6.1	2024-05-14_0hr_NoWire+10%inoc_6_A-F	100.67	1.708205367	0	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	
0-6.2	2024-05-14_0hr_NoWire+10%inoc_6_F-A	96.26	1.633374875	0	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	
0-7.1	2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F	121.96	2.069461871	0	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	
0-7.2	2024-05-14_0hr_Wire+10%inoc+DMSO_7_F-A	101.19	1.717028917	0	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	
0-8.1	2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F	86.375	1.465642581	0	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	
0-8.2	2024-05-14_0hr_NoWire+10%inoc+DMSO_8_F-A	89.41	1.51714157	0	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	
24-1.1	2024-05-15_24hr_Wire+Media_1_A-F	6253.61	106.1135409	24	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	0.9901
24-1.2	2024-05-15_24hr_Wire+Media_1_F-A	6921.025	117.4384827	24	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	0.9901
24-2.1	2024-05-15_24hr_NoWire+Media_2_A-F	97.47	1.653906597	24	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	
24-2.2	2024-05-15_24hr_NoWire+Media_2_F-A	100.745	1.709477995	24	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	
24-3.1	2024-05-15_24hr_Wire+Media+DMSO_3_A-F	2404.64	40.80281071	24	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	
24-3.2	2024-05-15_24hr_Wire+Media+DMSO_3_F-A	1509.185	25.60840287	24	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	
24-4.1	2024-05-15_24hr_NoWire+Media+DMSO_4_A-F	92.46	1.568895085	24	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	
24-4.2	2024-05-15_24hr_NoWire+Media+DMSO_4_F-A	90.815	1.540982124	24	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	
24-5.1	2024-05-15_24hr_Wire+10%inoc_5_A-F	47514.82	806.2488382	24	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	0.9405
24-5.2	2024-05-15_24hr_Wire+10%inoc_5_F-A	46804.52	794.1962081	24	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	0.9405
24-6.1	2024-05-15_24hr_NoWire+10%inoc_6_A-F	102.6	1.740954313	24	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	
